"A","B","C"
"Jarvis AlgorithmAll Hull Points","2480","3.5318"
"Jarvis AlgorithmAll Hull Points","2490","3.3422"
"Jarvis AlgorithmAll Hull Points","2500","3.2278"
"Jarvis AlgorithmAll Hull Points","2510","3.4649"
"Jarvis AlgorithmAll Hull Points","2520","3.4327"
"Jarvis AlgorithmAll Hull Points","2530","3.3553"
"Jarvis AlgorithmAll Hull Points","2540","3.5412"
"Jarvis AlgorithmAll Hull Points","2550","3.3539"
"Jarvis AlgorithmAll Hull Points","2560","3.4023"
"Jarvis AlgorithmAll Hull Points","2570","3.4452"
"Jarvis AlgorithmAll Hull Points","2580","3.7913"
"Jarvis AlgorithmAll Hull Points","2590","3.5315"
"Jarvis AlgorithmAll Hull Points","2600","3.5275"
"Jarvis AlgorithmAll Hull Points","2610","3.5739"
"Jarvis AlgorithmAll Hull Points","2620","3.907"
"Jarvis AlgorithmAll Hull Points","2630","3.9361"
"Jarvis AlgorithmAll Hull Points","2640","3.66"
"Jarvis AlgorithmAll Hull Points","2650","3.6269"
"Jarvis AlgorithmAll Hull Points","2660","3.6965"
"Jarvis AlgorithmAll Hull Points","2670","3.7129"
"Jarvis AlgorithmAll Hull Points","2680","3.7562"
"Jarvis AlgorithmAll Hull Points","2690","4.0023"
"Jarvis AlgorithmAll Hull Points","2700","3.811"
"Jarvis AlgorithmAll Hull Points","2710","3.7978"
"Jarvis AlgorithmAll Hull Points","2720","3.8463"
"Jarvis AlgorithmAll Hull Points","2730","3.8384"
"Jarvis AlgorithmAll Hull Points","2740","3.9049"
"Jarvis AlgorithmAll Hull Points","2750","3.9168"
"Jarvis AlgorithmAll Hull Points","2760","3.9638"
"Jarvis AlgorithmAll Hull Points","2770","4.2498"
"Jarvis AlgorithmAll Hull Points","2780","4.0957"
"Jarvis AlgorithmAll Hull Points","2790","4.0144"
"Jarvis AlgorithmAll Hull Points","2800","4.0622"
"Jarvis AlgorithmAll Hull Points","2810","4.1025"
"Jarvis AlgorithmAll Hull Points","2820","4.0909"
"Jarvis AlgorithmAll Hull Points","2830","4.1566"
"Jarvis AlgorithmAll Hull Points","2840","4.476"
"Jarvis AlgorithmAll Hull Points","2850","4.3543"
"Jarvis AlgorithmAll Hull Points","2860","4.2385"
"Jarvis AlgorithmAll Hull Points","2870","4.2611"
"Jarvis AlgorithmAll Hull Points","2880","4.2846"
"Jarvis AlgorithmAll Hull Points","2890","4.3118"
"Jarvis AlgorithmAll Hull Points","2900","4.3378"
"Jarvis AlgorithmAll Hull Points","2910","4.4599"
"Jarvis AlgorithmAll Hull Points","2920","4.6821"
"Jarvis AlgorithmAll Hull Points","2930","4.4661"
"Jarvis AlgorithmAll Hull Points","2940","4.4879"
"Jarvis AlgorithmAll Hull Points","2950","4.5217"
"Jarvis AlgorithmAll Hull Points","2960","4.5003"
"Jarvis AlgorithmAll Hull Points","2970","4.5996"
"Jarvis AlgorithmAll Hull Points","2980","4.6182"
"Jarvis AlgorithmAll Hull Points","2990","4.6209"
"Jarvis AlgorithmAll Hull Points","3000","4.6533"
"Jarvis AlgorithmAll Hull Points","3010","4.7291"
"Jarvis AlgorithmAll Hull Points","3020","4.6861"
"Graham ScanAll Hull Points","30","0.0001"
"Graham ScanAll Hull Points","40","0.0001"
"Graham ScanAll Hull Points","50","0.0002"
"Graham ScanAll Hull Points","60","0.0002"
"Graham ScanAll Hull Points","70","0.0002"
"Graham ScanAll Hull Points","80","0.0002"
"Graham ScanAll Hull Points","90","0.0002"
"Graham ScanAll Hull Points","100","0.0002"
"Graham ScanAll Hull Points","110","0.0002"
"Graham ScanAll Hull Points","120","0.0002"
"Graham ScanAll Hull Points","130","0.0003"
"Graham ScanAll Hull Points","140","0.0003"
"Graham ScanAll Hull Points","150","0.0003"
"Graham ScanAll Hull Points","160","0.0003"
"Graham ScanAll Hull Points","170","0.0003"
"Graham ScanAll Hull Points","180","0.0005"
"Graham ScanAll Hull Points","190","0.0004"
"Graham ScanAll Hull Points","200","0.0004"
"Graham ScanAll Hull Points","210","0.0004"
"Graham ScanAll Hull Points","220","0.0004"
"Graham ScanAll Hull Points","230","0.0004"
"Graham ScanAll Hull Points","240","0.0005"
"Graham ScanAll Hull Points","250","0.0005"
"Graham ScanAll Hull Points","260","0.0006"
"Graham ScanAll Hull Points","270","0.0005"
"Graham ScanAll Hull Points","280","0.0005"
"Graham ScanAll Hull Points","290","0.0006"
"Graham ScanAll Hull Points","300","0.0005"
"Graham ScanAll Hull Points","310","0.0006"
"Graham ScanAll Hull Points","320","0.0006"
"Graham ScanAll Hull Points","330","0.0007"
"Graham ScanAll Hull Points","340","0.0006"
"Graham ScanAll Hull Points","350","0.0007"
"Graham ScanAll Hull Points","360","0.0019"
"Graham ScanAll Hull Points","370","0.0007"
"Graham ScanAll Hull Points","380","0.0007"
"Graham ScanAll Hull Points","390","0.0008"
"Graham ScanAll Hull Points","400","0.0008"
"Graham ScanAll Hull Points","410","0.001"
"Graham ScanAll Hull Points","420","0.0008"
"Graham ScanAll Hull Points","430","0.0008"
"Graham ScanAll Hull Points","440","0.0008"
"Graham ScanAll Hull Points","450","0.0009"
"Graham ScanAll Hull Points","460","0.0009"
"Graham ScanAll Hull Points","470","0.0009"
"Graham ScanAll Hull Points","480","0.0009"
"Graham ScanAll Hull Points","490","0.0009"
"Graham ScanAll Hull Points","500","0.0011"
"Graham ScanAll Hull Points","510","0.001"
"Graham ScanAll Hull Points","520","0.0012"
"Graham ScanAll Hull Points","530","0.001"
"Graham ScanAll Hull Points","540","0.001"
"Graham ScanAll Hull Points","550","0.001"
"Graham ScanAll Hull Points","560","0.0011"
"Graham ScanAll Hull Points","570","0.001"
"Graham ScanAll Hull Points","580","0.0011"
"Graham ScanAll Hull Points","590","0.0011"
"Graham ScanAll Hull Points","600","0.0011"
"Graham ScanAll Hull Points","610","0.0012"
"Graham ScanAll Hull Points","620","0.0011"
"Graham ScanAll Hull Points","630","0.0012"
"Graham ScanAll Hull Points","640","0.0013"
"Graham ScanAll Hull Points","650","0.0013"
"Graham ScanAll Hull Points","660","0.0012"
"Graham ScanAll Hull Points","670","0.0013"
"Graham ScanAll Hull Points","680","0.0013"
"Graham ScanAll Hull Points","690","0.0013"
"Graham ScanAll Hull Points","700","0.0016"
"Graham ScanAll Hull Points","710","0.0014"
"Graham ScanAll Hull Points","720","0.0014"
"Graham ScanAll Hull Points","730","0.0015"
"Graham ScanAll Hull Points","740","0.0014"
"Graham ScanAll Hull Points","750","0.0015"
"Graham ScanAll Hull Points","760","0.0016"
"Graham ScanAll Hull Points","770","0.0015"
"Graham ScanAll Hull Points","780","0.0015"
"Graham ScanAll Hull Points","790","0.0015"
"Graham ScanAll Hull Points","800","0.0016"
"Graham ScanAll Hull Points","810","0.0016"
"Graham ScanAll Hull Points","820","0.0017"
"Graham ScanAll Hull Points","830","0.0016"
"Graham ScanAll Hull Points","840","0.0017"
"Graham ScanAll Hull Points","850","0.0017"
"Graham ScanAll Hull Points","860","0.0017"
"Graham ScanAll Hull Points","870","0.002"
"Graham ScanAll Hull Points","880","0.0017"
"Graham ScanAll Hull Points","890","0.0019"
"Graham ScanAll Hull Points","900","0.0017"
"Graham ScanAll Hull Points","910","0.0018"
"Graham ScanAll Hull Points","920","0.0022"
"Graham ScanAll Hull Points","930","0.0018"
"Graham ScanAll Hull Points","940","0.0018"
"Graham ScanAll Hull Points","950","0.0018"
"Graham ScanAll Hull Points","960","0.002"
"Graham ScanAll Hull Points","970","0.0019"
"Graham ScanAll Hull Points","980","0.0018"
"Graham ScanAll Hull Points","990","0.0033"
"Graham ScanAll Hull Points","1000","0.0052"
"Graham ScanAll Hull Points","1010","0.0031"
"Graham ScanAll Hull Points","1020","0.0019"
"Graham ScanAll Hull Points","1030","0.002"
"Graham ScanAll Hull Points","1040","0.0022"
"Graham ScanAll Hull Points","1050","0.0022"
"Graham ScanAll Hull Points","1060","0.002"
"Graham ScanAll Hull Points","1070","0.0025"
"Graham ScanAll Hull Points","1080","0.0023"
"Graham ScanAll Hull Points","1090","0.002"
"Graham ScanAll Hull Points","1100","0.002"
"Graham ScanAll Hull Points","1110","0.0021"
"Graham ScanAll Hull Points","1120","0.0022"
"Graham ScanAll Hull Points","1130","0.0022"
"Graham ScanAll Hull Points","1140","0.0023"
"Graham ScanAll Hull Points","1150","0.0025"
"Graham ScanAll Hull Points","1160","0.0024"
"Graham ScanAll Hull Points","1170","0.0023"
"Graham ScanAll Hull Points","1180","0.0023"
"Graham ScanAll Hull Points","1190","0.0025"
"Graham ScanAll Hull Points","1200","0.0026"
"Graham ScanAll Hull Points","1210","0.0024"
"Graham ScanAll Hull Points","1220","0.0023"
"Graham ScanAll Hull Points","1230","0.0023"
"Graham ScanAll Hull Points","1240","0.0023"
"Graham ScanAll Hull Points","1250","0.0023"
"Graham ScanAll Hull Points","1260","0.0034"
"Graham ScanAll Hull Points","1270","0.0024"
"Graham ScanAll Hull Points","1280","0.0026"
"Graham ScanAll Hull Points","1290","0.0023"
"Graham ScanAll Hull Points","1300","0.0024"
"Graham ScanAll Hull Points","1310","0.0024"
